"year","facility","location","frequency","churchClergy","CMDMClergy","notes","lon","lat"
1875,"St. Paul's Church","Albany, NY",12,"Rev. J. Livingston Reese","Rev. Thomas B Berry, Thomas Gallaudet (after he resigned the position- now on last sundays of July, October, January and April, afternoon)","Berry resigned pastorate, accepted position as rector Trinity Church, Granville, NY",-73.7562317,42.6525793
1875,"Grace Church","Allentown, PA",52,"Rev. Mr. Byllesby","Mr. Thomas Roberts, deaf mute","",-75.4901833,40.6084305
1875,"Grace Church","Baltimore, MD",52,"Rev. Dr. Leeds, rector","L.C. Tuck, John C. Covell, Rev. Thomas Gallaudet","Tuck licensed layereader in 1874, took over this mission December 1874",-76.6121893,39.2903848
1875,"Trinity Church","Baltimore, MD",3,"Rev. Dr. Leaken","L.C. Tuck, Thomas Gallaudet","a few special services",-76.6121893,39.2903848
1875,"Chapel of the Good Shepherd","Boston, MA",4,"Rev. George J. Prescott, Pastor","Gallaudet ","",-71.0597732,42.3584308
1875,"St. Paul's Church","Bridgeport, CT",52,"Rev. Dr. Richardson, rector","R.D. Beers, deaf, bible class, Galladuet, baptisms","Bible class, occasional services",-73.1951767,41.1865478
1875,"St. Mark's Church","Brooklyn, NY",NA,"","A.W. Mann","occasional services",-73.9441579,40.6781784
1875,"St. Mary's Church","Brooklyn, NY",12,"Rev. Dr. Johnson, rector","Gallaudet, Chamberlain, James S. Wells (deaf), James Lewis (deaf)","",-73.9441579,40.6781784
1875,"St. James' Church","Chicago, IL",NA,"","A.W. Mann","occasional services",-87.6297982,41.8781136
1875,"unnamed, likely to be St. James' Church","Chicago, IL",2,"","A.W. Mann visited by Rev. Gallaudet","at least twice",-87.6297982,41.8781136
1875,"Grace Church","Cleveland, OH",NA,"","A.W. Mann","occasional services",-81.6943605,41.49932
1875,"unnamed, likely to be Grace Church","Cleveland, OH",2,"","A.W. Mann visited by Rev. Gallaudet","at least twice",-81.6943605,41.49932
1875,"Trinity Church","Columbus, OH",NA,"","A.W. Mann","occasional services",-82.9987942,39.9611755
1875,"Christ Church","Detroit, MI",NA,"","A.W. Mann visited by Rev. Gallaudet","occasional services",-83.0457538,42.331427
1875,"St. Paul's Church","Erie, PA",NA,"","A.W. Mann","occasional services",-80.085059,42.1292241
1875,"St. Paul's Church","Flint, MI",2,"Rev. Marcus Lane, rector","A.W. Mann, visited by Rev. Gallaudet","In Nov, June Gallaudet traveled to Michigan, traveled with Mann and preached in various places. At least twice.",-83.6874562,43.0125274
1875,"unnamed, likely to be St. Mark's Church","Grand Rapids, MI",2,"","A.W. Mann visited by Rev. Gallaudet","at least twice",-85.6680863,42.9633599
1875,"St. Andrew's Church","Harlem, NY",NA,"","A.W. Mann","occasional services",-73.9464769,40.8115504
1875,"St. Paul's Church","Jackson, MI",NA,"","A.W. Mann","occasional services",-84.4013462,42.245869
1875,"unnamed, likely to be St. Paul's Church","Jackson, MI",2,"","A.W. Mann visited by Rev. Gallaudet","at least twice",-84.4013462,42.245869
1875,"Grace Church","Mexico, NY",NA,"","A.W. Mann","occasional services",-76.2288176,43.4595138
1875,"unnamed, likely to be All Saint's Cathedral","Milwaukee, WI",2,"","A.W. Mann visited by Rev. Gallaudet","at least twice",-87.9064736,43.0389025
1875,"St. Mary's Church","Mott Haven, NY",NA,"","A.W. Mann","occasional services",-73.9228881,40.8091068
1875,"St. Paul's Church","New Haven, CT",52,"Rev. Mr. Lobdell, rector","Mr. Beecher(deaf), Mr. Leek, deaf) bible classes , Gallaudet, one visit in May","bible class, occasional services",-72.9278835,41.308274
1875,"St. Ann's Church","New York City, NY",52,"Thomas Gallaudet, John Chamberlain","","",-74.0059413,40.7127837
1875,"Christ Church","Newark, NJ",NA,"","A.W. Mann","occasional services",-74.1723667,40.735657
1875,"St. Stephen's Church","Newark, NJ",NA,"","A.W. Mann","occasional services",-74.1723667,40.735657
1875,"Trinity Church","Newark, NJ",NA,"","A.W. Mann","occasional services",-74.1723667,40.735657
1875,"Christ Church","Newton, NJ",NA,"","A.W. Mann","occasional services",-74.7526651,41.0581527
1875,"Christ Church","Norwich, CT",NA,"","A.W. Mann","occasional services",-72.0759105,41.5242649
1875,"St. Stephen's Church","Philadelphia, PA",NA,"Rev. Dr. Rutter, rector","Rev. Dr. Gallaudet, Rev. Mr Chamberlain, Rev. Dr. Clerc (rector Burlington College), Mr. Henry W. Syle","regularly held for most of the year Sunday afternoon",-75.163789,39.952335
1875,"Trinity Church","Pittsburg, PA",NA,"","A.W. Mann","occasional services",-79.9958864,40.4406248
1875,"Trinity Church","Potsdam, NY",NA,"","A.W. Mann","occasional services",-74.9813084,44.6697805
1875,"Grace Church","Providence, RI",NA,"","A.W. Mann","occasional services",-71.4128343,41.8239891
1875,"St. Luke's Church","Rochester, NY",52,"Rev. Dr. Anstice, rector","Mr. John C. Acker, deaf with Mr. Edward P. Hart (hearing, who sometimes interpreted services in church)","",-77.6109219,43.16103
1875,"St. Mark's Church","Tarrytown, NY",NA,"","A.W. Mann","occasional services",-73.8587461,41.0762077
1875,"St. Paul's Chapel","Troy, NY",12,"Rev. Walker Gwynne ","Rev. Thomas B. Berry","began services here (also occasional services in ""other places"")",-73.6917851,42.7284117
1875,"St. Mark's Church","Washington, DC",NA,"","A.W. Mann","occasional services",-77.0368707,38.9071923
1875,"Trinity Chruch","Watertown, NY",NA,"","A.W. Mann","occasional services",-75.9107565,43.9747838
1875,"St. Matthew's Church","Wheeling, WV",NA,"","A.W. Mann","occasional services",-80.7209149,40.0639616
1877,"St. Paul's Church","Albany, NY",52,"Rev. Dr. Reese, rector","Rev. Gallaudet, REv. Mr. Berry","Galladuet visted five, for most of the year, Berry interpreted services friday afternoons, moved to Fond-Du-Lac",-73.7562317,42.6525793
1877,"Grace Church","Allentown, PA",48,"Rev. Mr. Stewart, Pastor","Chamberlain (2), regular services by Thomas S. Roberts","weekly, but missed several due to illness",-75.4901833,40.6084305
1877,"Name not given","Augusta, ME",1,"","Turner","",-69.7794897,44.3106241
1877,"Grace Church","Baltimore, MD",12,"Rev. Dr. Leeds, rector","Rev. Chamberlain (three services), Syle","monthly",-76.6121893,39.2903848
1877,"Name not given","Bath, ME",1,"","Turner","",-69.8206023,43.9106353
1877,"Name not given","Belfast, ME",1,"","Turner","",-69.0064234,44.4259092
1877,"Church of the Good Shepherd","Boston, MA",6,"","Rev. Gallaudet (3) chamberlain (3)","",-71.0597732,42.3584308
1877,"Name not given","Boston, MA",4,"","Turner","",-71.0597732,42.3584308
1877,"St. Paul's Church","Boston, MA",1,"","Rev. Gallaudet","",-71.0597732,42.3584308
1877,"St. Paul's Church","Bridgeport, CT",1,"","Chamberlain","",-73.1951767,41.1865478
1877,"Church of the Redeemer","Brooklyn, NY",1,"","Gallaudet","at least one service",-73.9441579,40.6781784
1877,"St. Luke's Church","Brooklyn, NY",1,"","Gallaudet","at least one service",-73.9441579,40.6781784
1877,"St. Mary's Church","Brooklyn, NY",12,"","Gallaudet indicates he officiated 5 times, Chamberlain four services, James Lewis layreader","",-73.9441579,40.6781784
1877,"St. John's Church","Cambridge, MA",2,"","Gallaudet (1) and Turner (1)","at least twice",-71.1097335,42.3736158
1877,"St. Peter's Church","Cambridgeport, MA",4,"","Gallaudet","",-71.1077157,42.3595761
1877,"St. James' Church","Chicago, IL",6,"","A.W. Mann visited by Gallaudet","",-87.6297982,41.8781136
1877,"St. John's Church","Cincinnati, OH",3,"Rev. Mr. Morgan, rector","A.W. Mann visited by Gallaudet, McGregor lay services","",-84.5120196,39.1031182
1877,"Grace Church","Cleveland, OH",11,"","A.W. Mann visited by Gallaudet","",-81.6943605,41.49932
1877,"Trinity Church","Columbus, OH",NA,"","A.W. Mann visited by Gallaudet","occasional services",-82.9987942,39.9611755
1877,"St. Paul's Church","Concord, NH",3,"","Turner","",-71.5375718,43.2081366
1877,"Name not given","Damariscotta, ME",1,"","Turner","",-69.5188884,44.0328765
1877,"Christ Church","Dayton, OH",NA,"","A.W. Mann visited by Gallaudet","occasional services",-84.1916069,39.7589478
1877,"Christ Church","Delavan, WI",NA,"","A.W. Mann visited by Gallaudet","occasional services",-88.6437138,42.6330703
1877,"St. Peter's Church","Delaware, OH",3,"","A.W. Mann visited by Gallaudet","",-83.067965,40.2986724
1877,"St. John's Church","Detroit, MI",3,"","A.W. Mann visited by Gallaudet","",-83.0457538,42.331427
1877,"Grace Church","Elmira, NY",2,"Rev. Mr. Hoskins, rector","Gallaudet","",-76.8077338,42.0897965
1877,"Name not given","Fall River, MA",4,"","Turner","",-71.1550451,41.7014912
1877,"St. Paul's Church","Flint, MI",3,"","A.W. Mann visited by Gallaudet","",-83.6874562,43.0125274
1877,"St. Mark's Church","Grand Rapids, MI",NA,"","A.W. Mann visited by Gallaudet","Occasional services ",-85.6680863,42.9633599
1877,"Trinity Church","Granville, NY",1,"Rev. Thomas B. Berry, rector","Berry","",-73.259553,43.4078495
1877,"Christ Chruch","Indianapolis, IN",NA,"","A.W. Mann visited by Gallaudet","Occasional services",-86.158068,39.768403
1877,"St. Paul's Church","Jackson, MI",6,"","Mann","",-84.4013462,42.245869
1877,"Grace Church","Jersey City, NJ",1,"","James Lewis","",-74.0776417,40.7281575
1877,"Name not given","Lewiston, ME",1,"","Turner","",-70.2147764,44.100351
1877,"Christ Church","Louisville, KY",NA,"","A.W. Mann visited by Gallaudet","occasional services",-85.7584557,38.2526647
1877,"St. Michael's Church","Marblehead, MA",4,"","Gallaudet","""several times"" - at least 4",-70.8578024,42.4999582
1877,"Name not given","Martha's Vineyard, MA",1,"","Turner","",-70.645473,41.3804981
1877,"Grace Church","Mexico, NY",1,"","Mann","",-76.2288176,43.4595138
1877,"All Saints' Cathedral","Milwaukee, WI",3,"","A.W. Mann visited by Gallaudet","",-87.9064736,43.0389025
1877,"St. Mary's Church","Mott Haven, NY",2,"","Gallaudet, chamberlain ","at least 2 services",-73.9228881,40.8091068
1877,"St. John's Church","Nantucket, MA",1,"","Gallaudet","at least one service",-70.099451,41.2834704
1877,"Name not given","Nashua, NH",1,"","Turner","",-71.467566,42.7653662
1877,"St. Ann's Church","New York City, NY",52,"Thomas Gallaudet, John Chamberlain","Gallaudet, Chamberlain, Berry (one service)","each led services 26 sundays of the year, Syle visited one time",-74.0059413,40.7127837
1877,"Name not given","New York City, NY",3,"","Turner","",-74.0059413,40.7127837
1877,"Name not given","Newport, RI",1,"","Turner","",-71.3128285,41.4901024
1877,"St. Paul's Chuch ","Newport, KY",NA,"","A.W. Mann visited by Gallaudet","occasional services",-84.4957757,39.091449
1877,"Park Congregational Church","Norwich, CT",2,"","Gallaudet (1) and Turner (1)","",-72.0759105,41.5242649
1877,"Name not given","Oswego, NY",1,"","Turner","",-76.5104973,43.4553461
1877,"Name not given","Pawtucket, RI",1,"","Turner","",-71.3825558,41.878711
1877,"St. Stephen's Church","Philadelphia, PA",53,"Rev. Dr. Rutter, rector","Rev. Dr. Gallaudet, Rev. Mr Chamberlain, Rev. Dr. Clerc (rector Burlington College), Mr. Henry W. Syle","Syle takes control of this ""mission"", Gallaudet =3 sundays, Chamberlain = 2 services",-75.163789,39.952335
1877,"St. John's Church","Phillipsburg, PA",NA,"","Rev. Dr. Clerc","Occasional services",-80.2714505,40.6872885
1877,"Trinity Church","Pittsburg, PA",2,"Rev. Dr. Hitchcock, rector","A.W. Mann visited by Gallaudet","",-79.9958864,40.4406248
1877,"St. Luke's Cathedral","Portland, ME",1,"","Turner","requests to move to the South for health reasons",-70.2553259,43.661471
1877,"Trinity Church","Potsdam, NY",5,"","Pennell","",-74.9813084,44.6697805
1877,"Grace Church","Providence, RI",4,"","Turner","",-71.4128343,41.8239891
1877,"St. James' Church","Pulaski, NY",NA,"","Gallaudet visited, Mann too","occasional services",-76.1277027,43.5670136
1877,"Chapel of Racine College","Racine, WI",NA,"","A.W. Mann visited by Gallaudet","occasional services",-87.7828523,42.7261309
1877,"St. Paul's Church","Racine, WI",NA,"","A.W. Mann visited by Gallaudet","occasional services",-87.7828523,42.7261309
1877,"St. Barnabas' Church","Reading, PA",1,"","Chamberlain","",-75.9268747,40.3356483
1877,"St. Luke's Church","Rochester, NY",52,"Rev. Dr. Anstice","Edward Pratt, Acker, layreader, Gallaudet visited, Mann too","",-77.6109219,43.16103
1877,"Zion Church","Rome, NY",NA,"","Gallaudet visited, Mann too","occasional services",-75.4557303,43.2128473
1877,"Trinity Church","Saco, ME",3,"","Turner","",-70.4428286,43.5009176
1877,"St. Peter's Church","Salem,",NA,"","Gallaudet","several times",-70.8967155,42.51954
1877,"St. Paul's Church","Troy, NY",12,"","Berry","",-73.6917851,42.7284117
1877,"St. Mark's Church","Washington, DC",1,"","Camberlain","",-77.0368707,38.9071923
1877,"Church of the Intercession","Washington Heights, New York",3,"Rev. Mr. Donald, rector","Gallaudet","",-73.9393554,40.8417082
1877,"Name not given","West Henniker, NH",1,"","Turner","",-71.8222872,43.1798323
1877,"All Saints' Church","Worcester, MA",NA,"","Gallaudet visited, Mann and Turner too","occasional services",-71.8022934,42.2625932
1877,"St. John's Church","York, PA",1,"","Clerc","",-76.727745,39.9625984
1878,"St. Paul's Church","Albany, NY",4,"Rev. Dr. Harrison, rector","Gallaudet, Mann","quarterly services",-73.7562317,42.6525793
1878,"Grace Church","Allentown, PA",52,"","Thomas S. Roberts","",-75.4901833,40.6084305
1878,"St. Andrew's Church","Ann Arbor, MI",1,"","Gallaudet, Mann","at least once",-83.7430378,42.2808256
1878,"St. Ann's Church","Annapolis, MD",1,"","Turner","",-76.4921829,38.9784453
1878,"St. Philip's Church","Atlanta, GA",1,"","Turner","at least once",-84.3879824,33.7489954
1878,"St. Peter's Church","Auburn, NY",1,"Rev. Dr. Brainard, rector","Gallaudet","",-76.5660529,42.9317335
1878,"Unnamed Church","Augusta, ME",1,"","Turner","",-69.7794897,44.3106241
1878,"Texas Institution for the Deaf and Dumb","Austin, TX",1,"","Turner","",-97.7430608,30.267153
1878,"Christ Church","Ballston, NY",1,"","Gallaudet","",-73.874722,42.953333
1878,"Grace Church","Baltimore, MD",13,"Rev. Dr. Leeds, rector","Gallaudet(2), Chamberlian (5) Turner (1)","monthly",-76.6121893,39.2903848
1878,"Unnamed Church","Bangor, ME",1,"","Turner","",-68.7778138,44.8011821
1878,"Unnamed Church","Baton Rouge, LA",1,"","Turner","",-91.1403196,30.4582829
1878,"Church of the Good Shepherd","Boston, MA",1,"","Gallaudet","",-71.0597732,42.3584308
1878,"St. Paul's Church","Boston, MA",12,"","Job Turner, Chamberlain(2)","second sunday each month",-71.0597732,42.3584308
1878,"St. Paul's Church","Boston, MA",12,"","Gallaudet","once a month",-71.0597732,42.3584308
1878,"St. Paul's Church","Boston, MA",3,"","Turner","",-71.0597732,42.3584308
1878,"St. Paul's Church","Bridgeport, CT",NA,"","R.D. Beers","",-73.1951767,41.1865478
1878,"Christ Church","Brooklyn, NY",12,"Rev. Mr. Partridge","Gallaudet","fourth Sunday each month",-73.9441579,40.6781784
1878,"St. Ann's Church","Brooklyn, NY",NA,"Rev. Dr. Schenck, rector","Gallaudet","at least once",-73.9441579,40.6781784
1878,"St. Mary's Church","Brooklyn, NY",NA,"Rev. Dr. Johnson, rector","Gallaudet, Chamberlain, Lewis","Second sunday each month. Moved - to the Chapel of St. Ann's Church in Brooklyn, Rev. Dr. Schenck, rector on second sunday of month",-73.9441579,40.6781784
1878,"St. John's Church","Buffalo, NY",3,"","Gallaudet (2), Mann (1)","",-78.8783689,42.8864468
1878,"St. Peter's Church","Cambridgeport, MA",2,"Rev. Mr. Gushee, rector","Gallaudet","",-71.1077157,42.3595761
1878,"Georgia Institution for Deaf and Dumb","Cave Spring, GA",1,"","Turner","",-85.3363434,34.1075975
1878,"South Carolina School for the Deaf","Cedar Spring, SC",1,"","Turner","",-82.529864,34.515606
1878,"Unnamed Church","Charleston, SC",1,"","Turner","",-79.9310512,32.7764749
1878,"St. Peter's Church","Charlotte, NC",1,"","Turner","",-80.8431267,35.2270869
1878,"Cathedral of St. Peter and St. Paul","Chicago, IL",2,"","Gallaudet, Mann","at least twice",-87.6297982,41.8781136
1878,"Grace Church","Chicago, IL",1,"Rev. Dr. Locke, rector","Gallaudet, Mann","",-87.6297982,41.8781136
1878,"Unnamed Church","Chicago, IL",1,"","Turner","",-87.6297982,41.8781136
1878,"St. James' Church","Chicago, IL",16,"","E. P. Holmes (layreader), Gallaudet, Mann (13)","",-87.6297982,41.8781136
1878,"Christ Church","Cincinnati, OH",2,"","Gallaudet, Mann, Turner","",-84.5120196,39.1031182
1878,"St. John's Church","Cincinnati, OH",6,"","R. P. McGregor, Mann (6)","",-84.5120196,39.1031182
1878,"Grace Church","Cleveland, OH",18,"","Gallaudet (1), Mann (17)","",-81.6943605,41.49932
1878,"St. Paul's Church","Cleveland, OH",1,"Rev. Dr. Bolles","Gallaudet, Mann","at least once",-81.6943605,41.49932
1878,"St. John's Church","Cohoes, NY",1,"","Gallaudet","at least once",-73.7001187,42.7742446
1878,"Unnamed Church","Columbia, SC",1,"","Turner","",-81.0348144,34.0007104
1878,"St. Paul's Church","Columbus, OH",2,"","Gallaudet, Mann, Turner","at least twice",-82.9987942,39.9611755
1878,"St. Paul's Church","Concord, NH",1,"","Turner","",-71.5375718,43.2081366
1878,"Emmanuel Church","Coopersville, MI",2,"","Mann","",-85.9347667,43.0639112
1878,"Kentucky Institution","Danville, KY",1,"","Turner","",-84.7721702,37.6456329
1878,"Christ Church","Dayton, OH",5,"","Mann","",-84.1916069,39.7589478
1878,"St. Peter's Church","Delaware, OH",2,"","Mann","",-83.067965,40.2986724
1878,"St. John's Church","Detroit, MI",6,"","Mann","",-83.0457538,42.331427
1878,"St. Paul's Church","Detroit, MI",1,"","Gallaudet, Mann","at least once",-83.0457538,42.331427
1878,"Trinity Church","Elizabeth, NJ",1,"Rev. Mr. McAllister, rector","Gallaudet","at least once",-74.2107006,40.6639916
1878,"St. Paul's Church","Erie, PA",1,"Rev. Mr. Mills, rector","Gallaudet, Mann, Hilliard, Moore","at least once",-80.085059,42.1292241
1878,"Church of the Ascension","Fall River, MA",1,"Rev. Mr. Fitch","Gallaudet","at least once",-71.1550451,41.7014912
1878,"Michigan Institution","Flint, MI",1,"","Turner","",-83.6874562,43.0125274
1878,"St. Paul's Church","Flint, MI",6,"","Mann","",-83.6874562,43.0125274
1878,"Trinity Church","Fort Wayne, IN",1,"Rev. Mr. Tate, rector","Gallaudet, Mann","at least once",-85.1393513,41.079273
1878,"Unnamed Church","Frederick City, MD",1,"","Turner","",-77.4105409,39.4142688
1878,"Grace Church","Galesburg, IL",2,"Rev. Mr. Higgins, rector","Gallaudet (1), Mann (1)","",-90.3712395,40.9478158
1878,"Trinity Church","Galveston, TX",1,"","Turner","",-94.7976958,29.3013479
1878,"Trinity Church","Geneva, NY",2,"Rev. Mr. Nelson","Gallaudet","at least twice",-76.985557,42.8679836
1878,"Church of the Messiah","Glenn's Falls, NY",1,"Rev. Mr. Olin, rector","Gallaudet","at least once",-73.6440058,43.3095164
1878,"St. John's Church","Hagerstown, MD",1,"","Gallaudet","at least once",-77.7199932,39.6417629
1878,"St. Andrew's Church","Harlem, NY",12,"Rev. Mr. Earp, rector","Gallaudet, Chamberlain, Lewis","third sunday each month",-73.9464769,40.8115504
1878,"Congregational Church of Henniker","Henniker, NH",2,"Rev. Mr. Hoffman, pastor","Gallaudet, Turner","",-71.8222872,43.1798323
1878,"Christ Church","Indianapolis, IN",6,"Rev. Dr. Schuyler","Gallaudet (1), Mann (5)","",-86.158068,39.768403
1878,"St. Paul's Cathedral","Indianapolis, IN",1,"","Gallaudet, Mann","at least once",-86.158068,39.768403
1878,"St. Paul's Church","Jackson, MI",7,"","Gallaudet (1), Mann (6)","",-84.4013462,42.245869
1878,"St. Paul's Church","Jackson, MI",6,"","Mann","",-84.4013462,42.245869
1878,"Trinity Church","Jacksonville, IL",3,"","Gallaudet (1), Mann (1), Turner (1)","",-90.2290098,39.733936
1878,"Unnamed Church","Jacksonville, MS",1,"","Turner","",-89.601079,30.2404881
1878,"Unnamed Church","Lewiston, ME",1,"","Turner","",-70.2147764,44.100351
1878,"Christ Church","Louisville, KY",2,"","Mann, Turner","",-85.7584557,38.2526647
1878,"Grace Church","Mansfield, OH",1,"Rev. Dr. Bronson, rector","Gallaudet, Mann","",-82.5154471,40.75839
1878,"St. Michael's Church","Marblehead, MA",1,"","Gallaudet","at least once",-70.8578024,42.4999582
1878,"St. Paul's Church","Marion, OH",1,"","Mann","",-83.1285242,40.5886699
1878,"Grace Church","Mexico, NY",2,"Rev. Dr. Cross, rector","Gallaudet","",-76.2288176,43.4595138
1878,"Grace Church","Mexico, NY",2,"","Turner","",-76.2288176,43.4595138
1878,"Trinity Church","Michigan City, IN",1,"","Mann","",-86.8950297,41.7075394
1878,"All Saints' Cathedral","Milwaukee, WI",3,"","Mann","",-87.9064736,43.0389025
1878,"Gethesmane","Minneapolis, MN",1,"","Mann","",-93.26667,44.983334
1878,"Unnamed Church","Mobile, AL",1,"","Turner","",-88.0398912,30.6953657
1878,"Unnamed Church","Montgomery, AL",1,"","Turner","",-86.2999689,32.3668052
1878,"St. Mary's Church","Mott Haven, NY",1,"","Gallaudet","at least once",-73.9228881,40.8091068
1878,"Pequot Chapel","New London, CT",1,"","Gallaudet","at least once",-72.0995209,41.3556539
1878,"Christ Church","New Orleans, LA",1,"","Turner","",-90.0715323,29.9510658
